"fips","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
37183,30440077,31736067,32882705,35292448,38292353,41405111,44116981,46581901,45403594,48623956,49285443,52133098,56155234,60428889,66092397,70523489,74683322,80777046,84686112
37185,230671,227117,238166,274987,255296,271457,271585,317032,320035,314352,314379,329313,315363,317273,307029,299944,298379,308755,334795
37187,193965,182025,192801,217301,213678,225080,241698,255775,260057,297721,286327,302650,302767,278330,254352,285114,262925,271473,287654
37189,1154741,1225125,1286257,1392546,1483134,1598495,1650173,1721308,1696426,1754018,1751209,1742686,1792588,1859995,1956413,2029653,2131915,2237827,2380108
37191,3317185,3275972,3252568,3473887,3607398,3878824,4042502,4203547,4333474,4421189,4345990,4440161,4680964,4651812,4738882,4752322,4819800,4992136,5131317
37193,2052739,1972291,1903236,1975779,1960900,2145242,2110921,2089003,2248478,2170906,2003217,1995914,2045212,2171107,2344138,2381128,2418479,2425082,2452410
37195,3312556,3274288,3218075,3134479,3437603,3807522,3966208,4077596,4316519,4410220,4593913,4291576,4101858,4112932,4259965,4259088,4278677,4389962,4627348
37197,585041,619599,605587,648689,676135,726478,709171,704034,714037,758219,772344,824385,879765,860094,895751,918127,924635,940685,983369
37199,256612,271277,264393,275234,293671,321907,315083,305238,300354,315476,333061,323833,324925,362627,373507,383007,363898,425220,464583
38001,58093,49127,71189,73214,75820,85596,95915,83405,90009,93862,96924,132920,113525,113232,139037,124893,114816,126582,185943
38003,256827,272373,293341,310122,322625,328288,379335,461699,410956,495120,503206,633324,572225,581311,651963,575238,625308,641917,699559
38005,94388,110549,149826,124376,140912,149974,193637,218185,204060,204031,237468,293046,252357,218584,200528,212133,246931,293672,260740
38007,25286,26399,30361,42066,56777,69850,78457,77942,65578,78186,95998,139834,141211,153643,122007,106534,121042,119421,191343
