"fips","region","division","netmig2010","netmig2011","netmig2012","netmig2013","netmig2014","netmig2015","netmig2016","netmig2017","netmig2018","netmig2019"
"06079","West","Pacific",52,873,2698,1200,2136,1581,1464,625,857,-252
"06081","West","Pacific",69,4068,6492,5096,4195,3527,-1470,-2876,-3730,-5343
"06083","West","Pacific",-475,-1666,1533,2218,1745,420,-345,-1318,-1666,-1371
"06085","West","Pacific",683,11189,12054,14145,11657,10858,-1054,-8335,-11311,-15012
"06087","West","Pacific",402,173,48,1225,915,1386,-192,-483,-1810,-1280
"06089","West","Pacific",11,266,277,521,504,-331,421,1244,677,707
"06091","West","Pacific",-5,-104,-22,-21,-32,27,-31,50,-8,20
"06093","West","Pacific",56,-244,-512,-426,-136,68,278,426,38,135
"06095","West","Pacific",126,80,1281,1870,3146,2338,3481,2834,815,557
"06097","West","Pacific",449,1242,1452,2949,3493,1339,838,-700,-4128,-4437
"06099","West","Pacific",-297,-1699,-988,-605,1089,1701,2572,2129,512,-535
"06101","West","Pacific",-118,-877,-924,-173,-296,0,-52,-10,-291,195
"06103","West","Pacific",108,-342,-229,-371,-245,162,113,261,63,985
"06105","West","Pacific",-7,-21,-161,-21,-250,19,-190,-69,-133,-240
"06107","West","Pacific",-415,-1479,-2204,-2240,-2068,-2502,-2164,-1103,-1527,-2230
"06109","West","Pacific",-198,-194,-453,-76,82,-63,377,470,587,252
"06111","West","Pacific",292,-910,-2059,-470,-728,-1118,-2668,-2035,-3971,-5053
"06113","West","Pacific",-133,-324,1492,510,828,2537,2455,1915,771,-455
"06115","West","Pacific",22,-555,-397,-319,-156,-84,330,1104,493,542
"08001","West","Mountain",806,3679,4095,4966,5484,6015,3006,1826,3903,2487
"08003","West","Mountain",13,92,-118,30,-94,11,104,17,62,-97
"08005","West","Mountain",1458,6925,6175,7603,6133,7543,3755,1663,3747,1342
"08007","West","Mountain",-33,-81,67,69,3,139,405,440,404,264
"08009","West","Mountain",15,7,-39,-59,-59,-7,3,27,35,6
"08011","West","Mountain",14,-57,-605,-64,74,81,-35,30,6,-213
"08013","West","Mountain",63,3421,3203,3432,1731,4682,2219,342,1452,896
"08014","West","Mountain",278,903,1105,822,1237,2747,1306,1407,770,896
"08015","West","Mountain",-1,230,130,266,119,219,549,597,412,360
"08017","West","Mountain",-3,30,-1,-2,-46,-28,19,2,9,-32
"08019","West","Mountain",26,-84,-17,-5,82,120,86,195,15,79
"08021","West","Mountain",20,-39,-82,-57,-23,-190,-26,75,30,13
"08023","West","Mountain",9,110,-27,-47,38,21,135,62,55,73
"08025","West","Mountain",28,23,-431,-126,267,16,-325,566,116,109
"08027","West","Mountain",25,-45,3,58,90,102,180,282,85,140
"08029","West","Mountain",-70,-451,58,-129,-309,61,507,282,508,387
"08031","West","Mountain",1912,11576,9069,8770,9651,13342,7845,3948,6849,6510
"08033","West","Mountain",0,-25,-43,24,-45,0,76,-2,21,-7
"08035","West","Mountain",820,2920,3681,5089,5717,5339,4056,5398,5125,6166
"08037","West","Mountain",-313,-627,-319,-1,-65,59,146,-107,-456,-246
"08039","West","Mountain",36,-36,54,233,430,527,436,554,488,379
"08041","West","Mountain",3185,4705,3435,4055,2865,5570,9046,6921,7353,3625
"08043","West","Mountain",84,690,-227,-532,-17,301,848,774,572,65
"08045","West","Mountain",-485,-599,189,-361,-250,121,618,-284,234,-40
"08047","West","Mountain",10,-61,-10,71,201,51,96,91,76,117
"08049","West","Mountain",-75,-275,-418,33,184,133,387,120,112,180
"08051","West","Mountain",-49,-130,31,113,104,270,235,373,247,233
"08053","West","Mountain",0,-17,-28,-1,-36,-9,25,4,22,13
"08055","West","Mountain",-28,-93,83,-56,-14,60,245,124,298,58
"08057","West","Mountain",-8,-33,-26,15,42,-35,6,16,20,-11
"08059","West","Mountain",216,3144,4393,3783,4880,4612,4864,2563,2777,2255
"08061","West","Mountain",4,30,-8,-14,-11,13,-39,25,16,20
"08063","West","Mountain",-7,-115,-125,158,-256,155,-616,-506,1,-67
"08065","West","Mountain",-60,16,-121,-28,14,79,115,123,28,220
"08067","West","Mountain",1,161,371,713,248,592,430,86,598,-180
"08069","West","Mountain",456,3341,3967,3928,6114,7987,4399,4121,5633,5175
"08071","West","Mountain",-80,-323,-46,-571,-310,48,82,172,333,42
"08073","West","Mountain",5,-65,30,-36,62,33,15,-25,69,77
"08075","West","Mountain",15,-198,-268,-240,260,-1,-10,-115,-82,121
"08077","West","Mountain",-655,320,-339,-595,-418,588,1432,1345,1616,1137
"08079","West","Mountain",-5,5,7,12,-31,41,10,6,18,-6
"08081","West","Mountain",-12,-493,-307,-148,-283,-89,122,-131,28,11
"08083","West","Mountain",-5,-118,-17,28,-78,127,256,148,29,49
"08085","West","Mountain",-151,-312,-266,-169,-46,-9,588,615,455,558
"08087","West","Mountain",-2,30,-366,-207,-316,-43,-210,-10,270,101
"08089","West","Mountain",15,-50,-212,-147,-67,-100,123,76,19,-42
"08091","West","Mountain",16,-43,66,46,31,40,180,11,19,142
"08093","West","Mountain",52,-255,-40,111,181,312,599,525,615,300
"08095","West","Mountain",18,-58,9,-24,-8,-66,-65,4,-5,-5
"08097","West","Mountain",-8,-104,44,88,174,156,-57,-114,-75,-287
"08099","West","Mountain",-37,-35,-140,-155,-305,-167,-30,23,26,51
"08101","West","Mountain",239,583,261,96,63,1500,1624,1478,1161,1033
"08103","West","Mountain",-58,60,-6,-93,-111,-150,-60,-105,-53,-26
"08105","West","Mountain",13,-131,-54,-215,-204,-152,-10,-36,-33,-5
"08107","West","Mountain",-116,-325,-105,223,361,183,200,369,240,57
"08109","West","Mountain",10,18,103,-134,-54,37,131,200,184,-25
"08111","West","Mountain",9,-18,2,2,17,-24,-2,22,47,-37
"08113","West","Mountain",-12,72,52,-2,74,54,140,-35,99,-38
"08115","West","Mountain",-3,12,23,-37,2,70,33,-72,-31,-9
"08117","West","Mountain",16,-287,5,227,377,511,279,50,-223,-4
"08119","West","Mountain",82,-192,68,-125,62,-56,650,576,448,297
"08121","West","Mountain",3,-46,-53,50,-7,55,59,82,-33,20
"08123","West","Mountain",757,2301,2901,3705,4511,6270,7284,7688,6477,7141
"08125","West","Mountain",-20,49,-77,-15,-12,-191,-34,-119,-56,30
"09001","Northeast","New England",1287,4721,3294,1496,699,-2716,-3944,-4451,-1782,-3343
"09003","Northeast","New England",644,-183,-923,-1556,-1956,-2717,-3721,-2125,-1504,-1734
"09005","Northeast","New England",-151,-676,-1139,-327,-1104,-879,-973,-703,-124,-299
"09007","Northeast","New England",-50,492,-580,-157,-424,-913,-235,4,240,-122
"09009","Northeast","New England",477,-1179,-765,-3111,-1265,-3715,-3357,-1102,-1418,-2858
"09011","Northeast","New England",-176,-1506,577,-1434,-1876,-2062,-1430,-1088,-1207,-1059
"09013","Northeast","New England",424,-358,-1319,-323,-195,-124,-737,-204,-349,-54
"09015","Northeast","New England",117,-442,-616,-595,-859,-362,-427,313,666,-267
"10001","South","South Atlantic",355,1314,1372,1056,1623,989,725,1396,1556,1874
"10003","South","South Atlantic",-365,743,600,1441,364,689,-420,-752,355,-132
"10005","South","South Atlantic",648,2324,2442,3158,3986,4612,4782,5314,5424,5292
"11001","South","South Atlantic",2169,9951,10095,10788,6983,8225,5508,4514,2431,401
"12001","South","South Atlantic",-69,1161,387,-83,1969,2555,3878,1519,1793,-504
"12003","South","South Atlantic",-58,-149,-112,-110,-65,157,417,259,66,807
"12005","South","South Atlantic",244,-150,1488,2283,3222,2746,1649,786,1305,-11803
"12007","South","South Atlantic",21,-149,-1516,-282,-249,196,-10,442,655,509
"12009","South","South Atlantic",830,1568,3683,4836,6540,11898,12892,13072,10006,8938
"12011","South","South Atlantic",3514,27463,20374,15913,16668,17003,20019,14883,5162,902
"12013","South","South Atlantic",-3,99,-64,-65,-120,-13,-26,134,168,-409
"12015","South","South Atlantic",253,1281,3940,3205,4638,5778,6782,5406,5050,5834
"12017","South","South Atlantic",300,-172,676,1073,1383,2981,3970,4070,3874,3601
"12019","South","South Atlantic",403,236,978,1290,2366,3330,4315,4590,3380,3045
"12021","South","South Atlantic",1050,4627,4384,6488,7824,8665,9277,7408,5942,7391
"12023","South","South Atlantic",51,-258,502,-480,342,341,1010,687,778,1069
"12027","South","South Atlantic",29,-203,59,-156,347,268,533,978,122,604
"12029","South","South Atlantic",-6,57,-201,-39,36,383,176,224,146,229
"12031","South","South Atlantic",198,1204,2785,1219,5748,8869,10155,6977,6568,4941
"12033","South","South Atlantic",201,559,3065,2636,574,877,1573,1059,1634,2930
