"fips","region","division","internationalmig2010","internationalmig2011","internationalmig2012","internationalmig2013","internationalmig2014","internationalmig2015","internationalmig2016","internationalmig2017","internationalmig2018","internationalmig2019"
"12037","South","South Atlantic",5,5,9,7,16,11,4,3,2,2
"12039","South","South Atlantic",17,74,44,67,23,49,70,60,50,41
"12041","South","South Atlantic",2,6,5,2,2,7,13,9,10,3
"12043","South","South Atlantic",16,71,36,16,16,22,32,36,26,15
"12045","South","South Atlantic",1,0,6,4,3,3,7,7,7,-2
"12047","South","South Atlantic",1,12,10,7,7,9,1,1,0,-2
"12049","South","South Atlantic",24,125,86,42,-11,23,21,9,-4,-2
"12051","South","South Atlantic",41,220,148,173,180,411,581,474,370,341
"12053","South","South Atlantic",42,130,85,96,220,280,318,343,366,50
"12055","South","South Atlantic",30,204,203,202,375,456,534,530,469,258
"12057","South","South Atlantic",1407,6606,6759,6660,7406,9334,10744,10958,9681,5266
"12059","South","South Atlantic",1,7,2,0,-8,-2,-3,-3,-3,-3
"12061","South","South Atlantic",30,215,194,234,246,301,349,346,223,205
"12063","South","South Atlantic",1,17,12,35,45,35,41,47,37,29
"12065","South","South Atlantic",0,1,-3,-2,-1,6,9,9,6,6
"12067","South","South Atlantic",2,14,2,7,30,52,54,61,94,-5
"12069","South","South Atlantic",106,587,511,641,623,832,948,1021,1155,215
"12071","South","South Atlantic",540,2477,2184,2186,2362,3326,3852,3927,2995,2183
"12073","South","South Atlantic",139,598,628,602,645,669,771,791,537,420
"12075","South","South Atlantic",11,29,22,5,10,21,23,25,25,-1
"12077","South","South Atlantic",-1,-4,-2,-3,-3,1,-2,-2,-1,-5
"12079","South","South Atlantic",-1,4,5,9,9,30,37,34,30,15
"12081","South","South Atlantic",201,955,912,878,848,1282,1481,1460,1067,710
"12083","South","South Atlantic",107,439,406,433,474,456,540,584,668,15
"12085","South","South Atlantic",49,217,107,113,155,184,227,232,170,71
"12086","South","South Atlantic",8388,36377,35183,38319,39444,44139,53387,55190,41730,38016
"12087","South","South Atlantic",82,291,352,409,337,394,446,430,265,273
"12089","South","South Atlantic",4,29,62,-13,12,47,46,37,43,-15
"12091","South","South Atlantic",185,165,862,473,462,667,490,315,55,76
"12093","South","South Atlantic",8,64,61,38,45,96,115,113,65,61
"12095","South","South Atlantic",1696,9375,9196,9782,12051,14462,16595,17598,17622,7258
"12097","South","South Atlantic",596,3478,3620,3748,4851,5490,6099,6720,8529,1208
"12099","South","South Atlantic",1450,7181,6897,7974,8344,9942,11953,12207,9033,7748
"12101","South","South Atlantic",136,806,678,664,757,954,1164,1214,952,519
"12103","South","South Atlantic",372,2042,1927,2127,2221,2365,2859,2911,2059,1336
"12105","South","South Atlantic",426,2596,2365,2098,2483,2682,3036,3229,3672,673
"12107","South","South Atlantic",9,5,7,11,6,14,19,19,23,-24
"12109","South","South Atlantic",11,65,144,219,171,236,298,292,182,83
"12111","South","South Atlantic",161,612,586,637,793,950,1118,1154,854,603
"12113","South","South Atlantic",50,13,298,117,61,164,88,9,-96,-68
