"GeoFips","GeoName","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"08003","Alamosa, CO",498373,422693,453142,482408,504757,536675,566879,585703,570962
"08005","Arapahoe, CO",28984443,29253859,28814206,29981563,31192584,32354331,30808131,29930369,31169898
"08007","Archuleta, CO",309234,310954,307654,350848,350571,367648,388569,371718,401140
"08009","Baca, CO",86566,131181,138139,146349,116426,159507,153940,203268,185165
"08011","Bent, CO",94593,115234,123123,116022,123046,142849,154562,157895,154045
"08013","Boulder, CO*",14969341,15085829,15686903,16244516,17041189,18251058,19168580,19269973,19742088
"08014","Broomfield, CO*",2483593,2646138,3000688,3240917,3730556,4289094,4550779,5032937,5822021
"08015","Chaffee, CO",391001,393751,397252,418038,466887,488511,521547,529353,536111
"08017","Cheyenne, CO",85689,139610,148758,181795,175564,206386,213528,206397,244607
"08019","Clear Creek, CO",239731,270342,295678,429922,440358,497908,537601,569755,579444
"08021","Conejos, CO",99364,111199,115407,118607,123151,127671,141070,165001,139192
"08023","Costilla, CO",82245,59337,61122,62933,63776,72846,72664,80954,71281
"08025","Crowley, CO",101493,94865,118244,131422,130619,121369,110160,88958,92975
"08027","Custer, CO",90132,93646,99431,92866,103018,92964,99340,106294,105484
"08029","Delta, CO",572671,589900,605982,660452,755277,895302,858316,771611,773457
"08031","Denver, CO",42478001,43147429,44391244,47655902,48105633,51373252,51290368,49875671,50599422
"08033","Dolores, CO",39428,29680,29924,34614,38666,44368,167398,162374,157502
"08035","Douglas, CO",5492593,6056815,6856863,8041665,8985600,10719238,11017957,11096065,11194362
"08037","Eagle, CO",2451092,2496824,2608617,2938950,2995580,3393830,3269805,2811352,2624047
"08039","Elbert, CO",303816,306869,311669,316197,328757,350742,362994,358833,358701
"08041","El Paso, CO",20128964,20640869,21391604,22937202,23956087,25108822,25616510,26157559,27207887
"08043","Fremont, CO",907865,931108,953605,1027933,1084052,1126895,1188978,1193127,1197814
"08045","Garfield, CO",1601170,1833641,2084762,2851131,3597679,4003882,5271306,3946132,4128224
"08047","Gilpin, CO",468547,433776,433732,470857,470132,494129,498613,533440,620278
"08049","Grand, CO",491177,487933,549148,578394,603818,618523,645771,609268,608880
"08051","Gunnison, CO",604770,677826,711019,856296,904267,997429,1121096,1148492,1104721
"08053","Hinsdale, CO",23903,23265,23609,24144,27358,28707,32479,33323,33861
"08055","Huerfano, CO",153311,173829,191768,214123,232421,228344,283974,262756,261688
"08057","Jackson, CO",35733,38221,41943,51495,63601,67012,59007,63463,63535
"08059","Jefferson, CO*",18775196,18873843,18919889,19935109,20547523,21509745,22500316,22508725,23241442
"08061","Kiowa, CO",40212,63706,53390,56341,45598,92345,61795,67056,80388
"08063","Kit Carson, CO",195764,280491,279661,290837,267818,362828,376316,390812,431963
"08065","Lake, CO",129761,133818,134713,135196,152676,160116,170220,170839,170397
"08067","La Plata, CO",1813016,2353779,2722628,3484758,3546207,3473955,4111215,3281065,3426849
"08069","Larimer, CO",9325214,9454720,9770070,10227269,10885284,11441528,11873896,11983740,12282138
"08071","Las Animas, CO",388249,472692,554861,728187,835623,832061,1105065,785570,799855
"08073","Lincoln, CO",148236,150138,155632,140762,159874,180426,176310,183319,187754
"08075","Logan, CO",628736,650759,656399,672504,766686,889470,985496,891128,979555
"08077","Mesa, CO",3499022,3657811,3857435,4228138,4797943,5457184,6099656,5581591,5396105
"08079","Mineral, CO",33720,32373,31015,30817,35549,36570,39490,39336,39653
"08081","Moffat, CO",720113,789661,857191,986647,1114061,1123448,1168594,1164949,1206076
"08083","Montezuma, CO",730737,1026584,1252019,1853504,1945987,1762894,2106076,1552645,1316535
"08085","Montrose, CO",906152,949866,1015245,1122027,1224485,1305216,1341534,1312860,1263540
"08087","Morgan, CO",967711,1015804,1000464,1006469,1157836,1156555,1195901,1136075,1296429
"08089","Otero, CO",435450,455020,452117,477648,488737,497204,518853,510355,527403
"08091","Ouray, CO",115839,137010,132211,131765,140428,148477,148240,167526,160132
"08093","Park, CO",227435,231308,236533,246350,285104,303618,303274,332358,337728
"08095","Phillips, CO",123905,148157,128191,124856,122397,179304,184017,193371,197470
"08097","Pitkin, CO",1550303,1550510,1635110,1873721,1676603,1782118,1812089,1517655,1510014
"08099","Prowers, CO",386209,416263,427513,451701,479156,504392,513553,532584,524864
"08101","Pueblo, CO",3546736,3720306,4073998,3976796,4404113,4581890,4962449,4984965,5160674
"08103","Rio Blanco, CO",298527,413902,502590,769165,886922,913790,1154375,793226,861032
"08105","Rio Grande, CO",317650,264914,283760,305784,335286,361081,377826,399832,361190
"08107","Routt, CO",1480858,1494040,1494870,1608766,1581647,1686100,1806676,1769759,1845072
"08109","Saguache, CO",132465,80827,102055,128521,127031,148796,154450,144896,144418
"08111","San Juan, CO",31959,31075,18816,20589,25233,29762,31513,32466,31060
"08113","San Miguel, CO",461343,472720,491556,580855,604619,596998,580285,487226,481668
"08115","Sedgwick, CO",55161,70025,81848,78784,77521,122107,132243,113697,115034
"08117","Summit, CO",1533582,1536556,1569802,1542312,1645443,1745692,1815595,1705210,1729692
"08119","Teller, CO",482069,494628,512850,575938,613182,649519,674082,714544,737666
"08121","Washington, CO",94587,130309,122787,134111,143648,178776,174839,221521,227022
"08123","Weld, CO*",5544046,5959411,6686465,7580527,8200577,8879119,9985591,9349606,10071686
"08125","Yuma, CO",513810,548774,621096,656665,768572,738376,775955,502092,663061
"09001","Fairfield, CT",60917737,61416445,66515694,70751235,74690555,80271927,82790316,79695554,79335328
"09003","Hartford, CT",48316127,50494845,56130267,58869657,62902266,68223276,68582413,70102443,71600896
"09005","Litchfield, CT",6229872,6333957,6497399,6702528,7201708,7291512,7508352,7410795,7694541
